IP	Protocol	Port	Service
179.189.84.211	tcp	2210	
179.189.84.211	tcp	2211	
179.189.84.211	tcp	8081	tproxy
179.189.84.211	tcp	8291	
179.189.84.212	tcp	179	bgp
179.189.84.212	tcp	2000	cisco-sccp
179.189.84.212	tcp	8081	tproxy
179.189.84.212	tcp	8291	
179.189.84.213	tcp	80	http
179.189.84.214	tcp	80	http
179.189.84.215	tcp	179	bgp
179.189.84.215	tcp	2000	cisco-sccp
179.189.84.215	tcp	8081	tproxy
179.189.84.215	tcp	8291	
179.189.84.216	tcp	179	bgp
179.189.84.216	tcp	2000	cisco-sccp
179.189.84.216	tcp	8081	tproxy
179.189.84.216	tcp	8291	
179.189.84.217	tcp	80	http
179.189.84.218	tcp	80	http
179.189.84.22	tcp	80	http
179.189.84.220	tcp	80	http
179.189.84.220	tcp	8000	
179.189.84.221	tcp	179	bgp
179.189.84.221	tcp	2000	cisco-sccp
179.189.84.221	tcp	8081	tproxy
179.189.84.221	tcp	8291	
179.189.84.222	tcp	15501	
179.189.84.223	tcp	211	
179.189.84.223	tcp	3050	gds-db
179.189.84.223	tcp	80	http
179.189.84.224	tcp	179	bgp
179.189.84.224	tcp	2000	cisco-sccp
179.189.84.224	tcp	8081	tproxy
179.189.84.224	tcp	8291	
179.189.84.225	tcp	80	http
179.189.84.226	tcp	36488	
179.189.84.226	tcp	43929	
179.189.84.226	tcp	58293	
179.189.84.227	tcp	80	http
179.189.84.228	tcp	179	bgp
179.189.84.228	tcp	2000	cisco-sccp
179.189.84.228	tcp	8000	
179.189.84.228	tcp	8001	
179.189.84.228	tcp	8002	
179.189.84.228	tcp	8081	tproxy
179.189.84.228	tcp	8090	
179.189.84.228	tcp	8091	
179.189.84.228	tcp	8092	
179.189.84.228	tcp	8291	
179.189.84.229	tcp	179	bgp
179.189.84.229	tcp	2000	cisco-sccp
179.189.84.229	tcp	8081	tproxy
179.189.84.229	tcp	8291	
179.189.84.23	tcp	554	rtsp
179.189.84.23	tcp	7000	afs3-fileserver
179.189.84.23	tcp	8000	
179.189.84.230	tcp	4433	
179.189.84.232	tcp	443	https
179.189.84.232	tcp	80	http
179.189.84.233	tcp	1024	
179.189.84.233	tcp	30960	
179.189.84.233	tcp	31385	
179.189.84.233	tcp	47823	
179.189.84.233	tcp	49152	
179.189.84.233	tcp	5000	
179.189.84.233	tcp	53000	
179.189.84.233	tcp	554	rtsp
179.189.84.233	tcp	57826	
179.189.84.233	tcp	6000	x11
179.189.84.233	tcp	7000	afs3-fileserver
179.189.84.233	tcp	80	http
179.189.84.233	tcp	8000	
179.189.84.233	tcp	880	
179.189.84.234	tcp	554	rtsp
179.189.84.234	tcp	80	http
179.189.84.234	tcp	8000	
179.189.84.235	tcp	80	http
179.189.84.236	tcp	179	bgp
179.189.84.236	tcp	2000	cisco-sccp
179.189.84.236	tcp	8081	tproxy
179.189.84.236	tcp	8291	
179.189.84.237	tcp	80	http
179.189.84.238	tcp	23	telnet
179.189.84.238	tcp	443	https
179.189.84.238	tcp	80	http
179.189.84.24	tcp	18734	
179.189.84.24	tcp	21344	
179.189.84.24	tcp	53075	
179.189.84.24	tcp	80	http
179.189.84.240	tcp	179	bgp
179.189.84.240	tcp	2000	cisco-sccp
179.189.84.240	tcp	8081	tproxy
179.189.84.240	tcp	8291	
179.189.84.241	tcp	2000	cisco-sccp
179.189.84.241	tcp	21	ftp
179.189.84.241	tcp	22	ssh
179.189.84.241	tcp	23	telnet
179.189.84.241	tcp	80	http
179.189.84.241	tcp	8291	
179.189.84.241	tcp	8728	
179.189.84.241	tcp	8729	
179.189.84.242	tcp	37777	
179.189.84.242	tcp	554	rtsp
179.189.84.242	tcp	80	http
179.189.84.244	tcp	2442	
179.189.84.244	tcp	80	http
179.189.84.244	tcp	8060	
179.189.84.245	tcp	443	https
179.189.84.245	tcp	80	http
179.189.84.246	tcp	20000	
179.189.84.247	tcp	554	rtsp
179.189.84.247	tcp	7000	afs3-fileserver
179.189.84.247	tcp	80	http
179.189.84.247	tcp	8000	
179.189.84.248	tcp	80	http
179.189.84.249	tcp	10001	
179.189.84.249	tcp	22	ssh
179.189.84.249	tcp	2442	
179.189.84.249	tcp	443	https
179.189.84.25	tcp	179	bgp
179.189.84.25	tcp	2000	cisco-sccp
179.189.84.25	tcp	8081	tproxy
179.189.84.25	tcp	8291	
179.189.84.250	tcp	179	bgp
179.189.84.250	tcp	2000	cisco-sccp
179.189.84.250	tcp	8081	tproxy
179.189.84.250	tcp	8291	
179.189.84.251	tcp	80	http
179.189.84.253	tcp	2000	cisco-sccp
179.189.84.253	tcp	2210	
179.189.84.253	tcp	2211	
179.189.84.253	tcp	8081	tproxy
179.189.84.253	tcp	8291	
179.189.84.254	tcp	2000	cisco-sccp
179.189.84.254	tcp	8081	tproxy
179.189.84.254	tcp	8291	
179.189.84.26	tcp	80	http
179.189.84.27	tcp	179	bgp
179.189.84.27	tcp	2000	cisco-sccp
179.189.84.27	tcp	8081	tproxy
179.189.84.27	tcp	8291	
179.189.84.28	tcp	30960	
179.189.84.28	tcp	32537	
179.189.84.28	tcp	45317	
179.189.84.28	tcp	49152	
179.189.84.28	tcp	53648	
179.189.84.28	tcp	554	rtsp
179.189.84.28	tcp	80	http
179.189.84.28	tcp	8000	
179.189.84.28	tcp	8002	
179.189.84.28	tcp	9010	
179.189.84.28	tcp	9020	
179.189.84.29	tcp	179	bgp
179.189.84.29	tcp	2000	cisco-sccp
179.189.84.29	tcp	8081	tproxy
179.189.84.29	tcp	8291	
179.189.84.3	tcp	179	bgp
179.189.84.3	tcp	2000	cisco-sccp
179.189.84.3	tcp	8081	tproxy
179.189.84.3	tcp	8291	
179.189.84.30	tcp	10002	
179.189.84.30	tcp	10443	
179.189.84.30	tcp	30960	
179.189.84.30	tcp	443	https
179.189.84.30	tcp	53000	
179.189.84.30	tcp	554	rtsp
179.189.84.30	tcp	7070	
179.189.84.30	tcp	80	http
179.189.84.30	tcp	8000	
179.189.84.30	tcp	880	
179.189.84.31	tcp	2442	
179.189.84.31	tcp	80	http
179.189.84.32	tcp	179	bgp
179.189.84.32	tcp	2000	cisco-sccp
179.189.84.32	tcp	8081	tproxy
179.189.84.32	tcp	8291	
179.189.84.33	tcp	80	http
179.189.84.34	tcp	2000	cisco-sccp
179.189.84.34	tcp	36712	
179.189.84.34	tcp	53	domain
179.189.84.34	tcp	80	http
179.189.84.34	tcp	8180	
179.189.84.34	tcp	8291	
179.189.84.34	tcp	8510	
179.189.84.36	tcp	179	bgp
179.189.84.36	tcp	2000	cisco-sccp
179.189.84.36	tcp	8081	tproxy
179.189.84.36	tcp	8291	
179.189.84.37	tcp	80	http
179.189.84.38	tcp	80	http
179.189.84.39	tcp	2442	
179.189.84.39	tcp	3380	
179.189.84.39	tcp	4664	
179.189.84.39	tcp	5000	
179.189.84.39	tcp	554	rtsp
179.189.84.39	tcp	80	http
179.189.84.39	tcp	8001	
179.189.84.39	tcp	8081	tproxy
179.189.84.39	tcp	8090	
179.189.84.4	tcp	179	bgp
179.189.84.4	tcp	2000	cisco-sccp
179.189.84.4	tcp	8081	tproxy
179.189.84.4	tcp	8291	
179.189.84.40	tcp	30960	
179.189.84.40	tcp	38081	
179.189.84.40	tcp	41711	
179.189.84.40	tcp	42228	
179.189.84.40	tcp	49152	
179.189.84.40	tcp	53000	
179.189.84.40	tcp	53248	
179.189.84.40	tcp	54760	
179.189.84.40	tcp	554	rtsp
179.189.84.40	tcp	80	http
179.189.84.40	tcp	9000	
179.189.84.40	tcp	9010	
179.189.84.40	tcp	9020	
179.189.84.40	tcp	9090	
179.189.84.41	tcp	100	
179.189.84.41	tcp	8200	
179.189.84.42	tcp	80	http
